凤凰资讯,rtmp://ivi.bupt.edu.cn:1935/livetv/fhzx
凤凰中文,rtmp://ivi.bupt.edu.cn:1935/livetv/fhzw
CCTV-1(内蒙爱上),http://1.180.237.9/live.aishang.ctlcdn.com/00000110240127_1/encoder/0/playlist.m3u8
CCTV-2(内蒙爱上),http://1.180.237.9/live.aishang.ctlcdn.com/00000110240244_1/encoder/0/playlist.m3u8
CCTV-3(内蒙爱上),http://1.180.237.9/live.aishang.ctlcdn.com/00000110240245_1/encoder/0/playlist.m3u8
CCTV-4(内蒙爱上),http://1.180.237.9/live.aishang.ctlcdn.com/00000110240316_1/encoder/0/playlist.m3u8
CCTV-5(内蒙爱上),http://1.180.237.9/live.aishang.ctlcdn.com/00000110240246_1/encoder/0/playlist.m3u8
CCTV-5+(内蒙爱上),http://1.180.237.9/live.aishang.ctlcdn.com/00000110240128_1/encoder/0/playlist.m3u8
CCTV-6(内蒙爱上),http://1.180.237.9/live.aishang.ctlcdn.com/00000110240247_1/encoder/0/playlist.m3u8
CCTV-7(内蒙爱上),http://1.180.237.9/live.aishang.ctlcdn.com/00000110240248_1/encoder/0/playlist.m3u8
CCTV-8(内蒙爱上),http://1.180.237.9/live.aishang.ctlcdn.com/00000110240249_1/encoder/0/playlist.m3u8
CCTV-9(内蒙爱上),http://1.180.237.9/live.aishang.ctlcdn.com/00000110240250_1/encoder/0/playlist.m3u8
CCTV-10(内蒙爱上),http://1.180.237.9/live.aishang.ctlcdn.com/00000110240251_1/encoder/0/playlist.m3u8
CCTV-12(内蒙爱上),http://1.180.237.9/live.aishang.ctlcdn.com/00000110240252_1/encoder/0/playlist.m3u8
CCTV-14(内蒙爱上),http://1.180.237.9/live.aishang.ctlcdn.com/00000110240253_1/encoder/0/playlist.m3u8
湖南卫视(内蒙爱上),http://1.180.237.9/live.aishang.ctlcdn.com/00000110240130_1/encoder/0/playlist.m3u8
浙江卫视(内蒙爱上),http://1.180.237.9/live.aishang.ctlcdn.com/00000110240134_1/encoder/0/playlist.m3u8
江苏卫视(内蒙爱上),http://1.180.237.9/live.aishang.ctlcdn.com/00000110240133_1/encoder/0/playlist.m3u8
东方卫视(内蒙爱上),http://1.180.237.9/live.aishang.ctlcdn.com/00000110240242_1/encoder/0/playlist.m3u8
安徽卫视(内蒙爱上),http://1.180.237.9/live.aishang.ctlcdn.com/00000110240256_1/encoder/0/playlist.m3u8
北京卫视(内蒙爱上),http://1.180.237.9/live.aishang.ctlcdn.com/00000110240129_1/encoder/0/playlist.m3u8
广东卫视(内蒙爱上),http://1.180.237.9/live.aishang.ctlcdn.com/00000110240137_1/encoder/0/playlist.m3u8
深圳卫视(内蒙爱上),http://1.180.237.9/live.aishang.ctlcdn.com/00000110240132_1/encoder/0/playlist.m3u8
湖北卫视(内蒙爱上),http://1.180.237.9/live.aishang.ctlcdn.com/00000110240135_1/encoder/0/playlist.m3u8
天津卫视(内蒙爱上),http://1.180.237.9/live.aishang.ctlcdn.com/00000110240136_1/encoder/0/playlist.m3u8
山东卫视(内蒙爱上),http://1.180.237.9/live.aishang.ctlcdn.com/00000110240254_1/encoder/0/playlist.m3u8
辽宁卫视(内蒙爱上),http://1.180.237.9/live.aishang.ctlcdn.com/00000110240255_1/encoder/0/playlist.m3u8
河北卫视(内蒙爱上),http://1.180.237.9/live.aishang.ctlcdn.com/00000110240317_1/encoder/0/playlist.m3u8
贵州卫视(内蒙爱上),http://1.180.237.9/live.aishang.ctlcdn.com/00000110240318_1/encoder/0/playlist.m3u8
黑龙江卫视(内蒙爱上),http://1.180.237.9/live.aishang.ctlcdn.com/00000110240131_1/encoder/0/playlist.m3u8
CETV-1(内蒙爱上),http://1.180.237.9/live.aishang.ctlcdn.com/00000110240302_1/encoder/0/playlist.m3u8
金鹰纪实(内蒙爱上),http://1.180.237.9/live.aishang.ctlcdn.com/00000110240303_1/encoder/0/playlist.m3u8
嘉佳卡通(内蒙爱上),http://1.180.237.9/live.aishang.ctlcdn.com/00000110240087_1/encoder/0/playlist.m3u8
金鹰卡通(内蒙爱上),http://1.180.237.9/live.aishang.ctlcdn.com/00000110240050_1/encoder/0/playlist.m3u8
卡酷少儿(内蒙爱上),http://1.180.237.9/live.aishang.ctlcdn.com/00000110240051_1/encoder/0/playlist.m3u8
